City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,egilsstadir,65.2653,-14.3948,5.95,93,100,2.06,IS,1683688223
319,jianshui,23.6363,102.8264,27.87,45,40,3.25,CN,1683688578
320,okhotsk,59.3833,143.3,6.03,71,14,2.89,RU,1683688230
321,novyy urengoy,66.0833,76.6333,0.04,99,100,2.33,RU,1683688438
322,jakiri,6.1,10.65,16.01,92,100,0.32,CM,1683688579
323,longyearbyen,78.2186,15.6401,-2.09,74,75,5.14,SJ,1683688171
324,paita,-5.0892,-81.1144,25.05,76,0,6.1,PE,1683688579
325,willowmore,-33.2926,23.4895,11.56,56,75,1.1,ZA,1683688579
326,muisne,0.6,-80.0333,26.6,87,100,2.51,EC,1683688461
327,zelenogorsk,56.1147,94.5861,9.28,50,89,2.03,RU,1683688580
328,labrador city,52.9463,-66.9114,-1.05,47,100,4.12,CA,1683688580
329,maumere,-8.6199,122.2111,29.13,73,36,1.36,ID,1683688582
330,isangel,-19.55,169.2667,28.06,78,75,3.09,VU,1683688582
331,kirsanov,52.6549,42.7224,5.75,72,99,3.34,RU,1683688582
332,catabola,-12.15,17.2833,11.99,62,0,1.34,AO,1683688582
333,princeville,45.7668,-61.2985,3.06,82,0,4.63,CA,1683688583
334,akureyri,65.6835,-18.0878,4.96,93,100,2.06,IS,1683688583
335,itanhandu,-22.2958,-44.9347,17.06,96,100,0.87,BR,1683688583
336,jiwani,25.05,61.7417,28.54,80,1,5.37,PK,1683688583
337,petawawa,45.9001,-77.3328,6.55,65,0,1.35,CA,1683688584
338,jam sahib,26.2958,68.6292,29.01,8,11,2.52,PK,1683688584
339,ritchie,-29.038,24.6028,13.56,53,0,1.69,ZA,1683688584
340,papao,-17.75,-149.55,28.7,83,48,4.74,PF,1683688465
341,arauca,7.0847,-70.7591,24.0,100,100,0.51,CO,1683688585
342,ouesso,1.6136,16.0517,20.83,99,100,0.49,CG,1683688257
343,urengoy,65.9667,78.3667,0.11,99,100,2.42,RU,1683688585
344,fortuna,40.5982,-124.1573,12.18,81,0,0.45,US,1683688191
345,tsetserleg,47.475,101.4542,10.17,31,19,6.32,MN,1683688585
346,santo antonio da platina,-23.295,-50.0772,19.47,96,100,1.67,BR,1683688586
